id,trait_value
plant_001,61.989
plant_002,52.962
plant_003,55.511
plant_004,57.007
plant_005,43.289
plant_006,37.488
plant_007,41.008
plant_008,52.724
plant_009,58.452
plant_010,51.022
plant_011,39.121
plant_012,61.244
plant_013,37.157
plant_014,46.094
plant_015,45.441
plant_016,52.005
plant_017,58.777
plant_018,38.058
plant_019,47.448
plant_020,52.524
plant_021,40.664
plant_022,49.269
plant_023,51.507
plant_024,39.317
plant_025,39.541
plant_026,49.561
plant_027,48.187
plant_028,51.77
plant_029,67.691
plant_030,57.16
